run_ID,seq_sample_ID,forward_fq,reverse_fq
seq260520_BRLUV,A-230622-16S-w-2-4,BRLUV2-A-230622-16S-w-2-4_S231_L001_R1_001.fastq.gz,BRLUV2-A-230622-16S-w-2-4_S231_L001_R2_001.fastq.gz
seq260520_BRLUV,A-230622-16S-w-2-5,BRLUV2-A-230622-16S-w-2-5_S229_L001_R1_001.fastq.gz,BRLUV2-A-230622-16S-w-2-5_S229_L001_R2_001.fastq.gz
seq260520_BRLUV,A-230622-16S-w-2-6,BRLUV2-A-230622-16S-w-2-6_S228_L001_R1_001.fastq.gz,BRLUV2-A-230622-16S-w-2-6_S228_L001_R2_001.fastq.gz
seq260520_BRLUV,A-230622-16S-w-2-7,BRLUV2-A-230622-16S-w-2-7_S227_L001_R1_001.fastq.gz,BRLUV2-A-230622-16S-w-2-7_S227_L001_R2_001.fastq.gz
seq260520_BRLUV,A-230622-16S-w-3-1,BRLUV2-A-230622-16S-w-3-1_S226_L001_R1_001.fastq.gz,BRLUV2-A-230622-16S-w-3-1_S226_L001_R2_001.fastq.gz
seq260520_BRLUV,A-230622-16S-w-3-2,BRLUV2-A-230622-16S-w-3-2_S225_L001_R1_001.fastq.gz,BRLUV2-A-230622-16S-w-3-2_S225_L001_R2_001.fastq.gz
seq260520_BRLUV,A-230622-16S-w-3-3,BRLUV2-A-230622-16S-w-3-3_S224_L001_R1_001.fastq.gz,BRLUV2-A-230622-16S-w-3-3_S224_L001_R2_001.fastq.gz
seq260520_BRLUV,A-230622-16S-w-3-4,BRLUV2-A-230622-16S-w-3-4_S223_L001_R1_001.fastq.gz,BRLUV2-A-230622-16S-w-3-4_S223_L001_R2_001.fastq.gz
seq260520_BRLUV,A-230622-16S-w-3-5,BRLUV2-A-230622-16S-w-3-5_S222_L001_R1_001.fastq.gz,BRLUV2-A-230622-16S-w-3-5_S222_L001_R2_001.fastq.gz
seq260520_BRLUV,A-230622-16S-w-3-6,BRLUV2-A-230622-16S-w-3-6_S221_L001_R1_001.fastq.gz,BRLUV2-A-230622-16S-w-3-6_S221_L001_R2_001.fastq.gz
seq260520_BRLUV,A-230622-16S-w-3-7,BRLUV2-A-230622-16S-w-3-7_S230_L001_R1_001.fastq.gz,BRLUV2-A-230622-16S-w-3-7_S230_L001_R2_001.fastq.gz
seq260520_BRLUV,A-230622-16S-w-4-1,BRLUV2-A-230622-16S-w-4-1_S243_L001_R1_001.fastq.gz,BRLUV2-A-230622-16S-w-4-1_S243_L001_R2_001.fastq.gz
seq260520_BRLUV,A-230622-16S-w-4-2,BRLUV2-A-230622-16S-w-4-2_S254_L001_R1_001.fastq.gz,BRLUV2-A-230622-16S-w-4-2_S254_L001_R2_001.fastq.gz
seq260520_BRLUV,A-230622-16S-w-4-3,BRLUV2-A-230622-16S-w-4-3_S244_L001_R1_001.fastq.gz,BRLUV2-A-230622-16S-w-4-3_S244_L001_R2_001.fastq.gz
seq260520_BRLUV,A-230622-16S-w-4-4,BRLUV2-A-230622-16S-w-4-4_S264_L001_R1_001.fastq.gz,BRLUV2-A-230622-16S-w-4-4_S264_L001_R2_001.fastq.gz
seq260520_BRLUV,A-230622-16S-w-4-5,BRLUV2-A-230622-16S-w-4-5_S263_L001_R1_001.fastq.gz,BRLUV2-A-230622-16S-w-4-5_S263_L001_R2_001.fastq.gz
seq260520_BRLUV,A-230622-16S-w-4-6,BRLUV2-A-230622-16S-w-4-6_S262_L001_R1_001.fastq.gz,BRLUV2-A-230622-16S-w-4-6_S262_L001_R2_001.fastq.gz
seq260520_BRLUV,A-230622-16S-w-4-7,BRLUV2-A-230622-16S-w-4-7_S261_L001_R1_001.fastq.gz,BRLUV2-A-230622-16S-w-4-7_S261_L001_R2_001.fastq.gz
seq260520_BRLUV,A-230622-16S-w-5-1,BRLUV2-A-230622-16S-w-5-1_S260_L001_R1_001.fastq.gz,BRLUV2-A-230622-16S-w-5-1_S260_L001_R2_001.fastq.gz
seq260520_BRLUV,A-230622-16S-w-5-2,BRLUV2-A-230622-16S-w-5-2_S259_L001_R1_001.fastq.gz,BRLUV2-A-230622-16S-w-5-2_S259_L001_R2_001.fastq.gz
seq260520_BRLUV,A-230622-16S-w-5-3,BRLUV2-A-230622-16S-w-5-3_S258_L001_R1_001.fastq.gz,BRLUV2-A-230622-16S-w-5-3_S258_L001_R2_001.fastq.gz
seq260520_BRLUV,A-230622-16S-w-5-4,BRLUV2-A-230622-16S-w-5-4_S257_L001_R1_001.fastq.gz,BRLUV2-A-230622-16S-w-5-4_S257_L001_R2_001.fastq.gz
seq260520_BRLUV,A-230622-16S-w-5-5,BRLUV2-A-230622-16S-w-5-5_S256_L001_R1_001.fastq.gz,BRLUV2-A-230622-16S-w-5-5_S256_L001_R2_001.fastq.gz
seq260520_BRLUV,A-230622-16S-w-5-6,BRLUV2-A-230622-16S-w-5-6_S265_L001_R1_001.fastq.gz,BRLUV2-A-230622-16S-w-5-6_S265_L001_R2_001.fastq.gz
seq260520_BRLUV,A-230622-16S-w-5-7,BRLUV2-A-230622-16S-w-5-7_S255_L001_R1_001.fastq.gz,BRLUV2-A-230622-16S-w-5-7_S255_L001_R2_001.fastq.gz
seq260520_BRLUV,A-230622-16S-w-6-1,BRLUV2-A-230622-16S-w-6-1_S253_L001_R1_001.fastq.gz,BRLUV2-A-230622-16S-w-6-1_S253_L001_R2_001.fastq.gz
seq260520_BRLUV,A-230622-16S-w-6-2,BRLUV2-A-230622-16S-w-6-2_S252_L001_R1_001.fastq.gz,BRLUV2-A-230622-16S-w-6-2_S252_L001_R2_001.fastq.gz
seq260520_BRLUV,A-230622-16S-w-6-3,BRLUV2-A-230622-16S-w-6-3_S251_L001_R1_001.fastq.gz,BRLUV2-A-230622-16S-w-6-3_S251_L001_R2_001.fastq.gz
seq260520_BRLUV,A-230622-16S-w-6-4,BRLUV2-A-230622-16S-w-6-4_S250_L001_R1_001.fastq.gz,BRLUV2-A-230622-16S-w-6-4_S250_L001_R2_001.fastq.gz
seq260520_BRLUV,A-230622-16S-w-6-5,BRLUV2-A-230622-16S-w-6-5_S249_L001_R1_001.fastq.gz,BRLUV2-A-230622-16S-w-6-5_S249_L001_R2_001.fastq.gz
seq260520_BRLUV,A-230622-16S-w-6-6,BRLUV2-A-230622-16S-w-6-6_S248_L001_R1_001.fastq.gz,BRLUV2-A-230622-16S-w-6-6_S248_L001_R2_001.fastq.gz
seq260520_BRLUV,A-230622-16S-w-6-7,BRLUV2-A-230622-16S-w-6-7_S247_L001_R1_001.fastq.gz,BRLUV2-A-230622-16S-w-6-7_S247_L001_R2_001.fastq.gz
seq260520_BRLUV,A-230622-16S-w-7-1,BRLUV2-A-230622-16S-w-7-1_S246_L001_R1_001.fastq.gz,BRLUV2-A-230622-16S-w-7-1_S246_L001_R2_001.fastq.gz
seq260520_BRLUV,A-230622-16S-w-7-2,BRLUV2-A-230622-16S-w-7-2_S245_L001_R1_001.fastq.gz,BRLUV2-A-230622-16S-w-7-2_S245_L001_R2_001.fastq.gz
seq260520_BRLUV,A-230622-16S-w-7-3,BRLUV2-A-230622-16S-w-7-3_S220_L001_R1_001.fastq.gz,BRLUV2-A-230622-16S-w-7-3_S220_L001_R2_001.fastq.gz
seq260520_BRLUV,A-230622-16S-w-7-4,BRLUV2-A-230622-16S-w-7-4_S242_L001_R1_001.fastq.gz,BRLUV2-A-230622-16S-w-7-4_S242_L001_R2_001.fastq.gz
seq260520_BRLUV,A-230622-16S-w-7-5,BRLUV2-A-230622-16S-w-7-5_S219_L001_R1_001.fastq.gz,BRLUV2-A-230622-16S-w-7-5_S219_L001_R2_001.fastq.gz
seq260520_BRLUV,A-230622-16S-w-7-6,BRLUV2-A-230622-16S-w-7-6_S196_L001_R1_001.fastq.gz,BRLUV2-A-230622-16S-w-7-6_S196_L001_R2_001.fastq.gz
seq260520_BRLUV,A-230622-16S-w-7-7,BRLUV2-A-230622-16S-w-7-7_S194_L001_R1_001.fastq.gz,BRLUV2-A-230622-16S-w-7-7_S194_L001_R2_001.fastq.gz
seq260520_BRLUV,A-230622-16S-w-8-1,BRLUV2-A-230622-16S-w-8-1_S193_L001_R1_001.fastq.gz,BRLUV2-A-230622-16S-w-8-1_S193_L001_R2_001.fastq.gz
seq260520_BRLUV,A-230622-16S-w-8-2,BRLUV2-A-230622-16S-w-8-2_S192_L001_R1_001.fastq.gz,BRLUV2-A-230622-16S-w-8-2_S192_L001_R2_001.fastq.gz
seq260520_BRLUV,A-230622-16S-w-8-3,BRLUV2-A-230622-16S-w-8-3_S191_L001_R1_001.fastq.gz,BRLUV2-A-230622-16S-w-8-3_S191_L001_R2_001.fastq.gz
seq260520_BRLUV,A-230622-16S-w-8-4,BRLUV2-A-230622-16S-w-8-4_S190_L001_R1_001.fastq.gz,BRLUV2-A-230622-16S-w-8-4_S190_L001_R2_001.fastq.gz
seq260520_BRLUV,A-230622-16S-w-8-5,BRLUV2-A-230622-16S-w-8-5_S189_L001_R1_001.fastq.gz,BRLUV2-A-230622-16S-w-8-5_S189_L001_R2_001.fastq.gz
